title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Excellent Spacious build,Ebenezer S.,Yes,2025-12-06,"Missouri City, TX",Rooms are spacious with economical options to get a great build for an exciting living. I loved living in this building. A sound and well built.,5,5,5,5,5
Kyle is incredible and wonderful to work with!,Colleen W.,Yes,2025-12-03,"San Tan Valley, AZ","Kyle was so amazing to work with! His attention to detail, personal skills, helpfulness, expertise, workability, responsiveness, availability, and expertise were beyond expectation! He’s exceptional and a real asset to Shea Homes!",5,5,5,5,5
Seamless and trustworthy,Timothy B.,Yes,2025-12-02,"Las Vegas, NV","We have bought several custom and spec homes over the past 30 years and this was, without question, the most organized, transparent, simple, and painless home-buying process we have encountered. Kudos to the Shea staff who assisted us every step of the way from sales, design, construction, to warranty.",5,5,5,5,5
great experience - lived up to every promise along the way,Larry G.,Yes,2025-11-26,"Missouri City, TX","We had a great experience with Shea. They made some promises during the sales process, and they've lived up to every word post sales. Home is beautiful and well constructed.",5,5,5,5,5
Great location - great home!,Bruce U.,Yes,2025-11-26,"Denver, NC","Shea Homes did a great job on our home. Jacob, our field supervisor, was amazing through the entire process. Enjoyed working with him. And, after receiving the home, Helena has been great about our warranty items. And I cannot forget Courtney. She helped us through the buying process and was very patient with us. Highly recommend Shea Homes. Only thing that did not match the level of ""greatness"" that Shea Homes provides is the quality of the paint they use on their walls and ceilings. Need to improve on this.",5,5,5,5,5
Best Homebuying Experience!!,Gary G.,Yes,2025-11-26,"Denver, NC","From the initial sales experience with Kelley, to the closing with Irene, and after sale with Gwen, I can honestly say that Shea is TOP NOTCH! I've been a broker for 40+ years and dealt with hundreds of builders, and these folks are real pros that care about the homeowenr.",5,5,5,5,5
DEL BELLO LAKES SHEA HOMES,Yonas M.,Yes,2025-11-21,"Manvel, TX",We are super excited about our new dream home. Thank you Shea homes for the low interest rate; we would not afford to buy this house if it was not for the 4.99 interest rate offered by the builder.,5,5,5,5,5
EXCEEDED MY EXPECTATIONS!!!,Douglas A.,Yes,2025-11-18,"Peoria, AZ","If you lucky, you will get to work with incredibly caring and knowledgeable people like we did. It started with Kacey, who effortlessly ensured that our new purchase would be terrific. Eric, who meticulously educated me on the proper building process and also kept me well informed as to what to expect throughout the building process. When I pointed out a rare concern, he was quick to solve it and to provide a fix that was much better then mine. True Pros who care.",5,5,5,5,5
A marvelous experience,Jessica B.,Yes,2025-11-11,"San Marcos, CA",The Shea team has made us feel special as buyers along every step of the way.,5,5,5,5,5
Great Experience,Bradley G.,Yes,2025-11-06,"Castle Rock, CO",Builder was very organized and trustworthy thru entire process from start to finish,5,5,5,5,5
Cali,Joe C.,Yes,2025-11-05,"Scottsdale, AZ",Best home experience ever!! From top to bottom,5,5,5,5,5
After Sale Experience,Arun M.,Yes,2025-11-05,"Las Vegas, NV","As with any new buildout, we too expeienced some minor issues. Theresa has been phenomenal is helping us get our issues resolved to our satisfaction. She ALWAYS goes (way) above and (way) beyond and does not let up will our issue to resolved to our satisfaction. She has made the after sale experience easy to deal with :)",5,5,5,5,5
Sales,Sheri B.,Yes,2025-11-05,"Las Vegas, NV",Jennifer in sales has benn great all the way through. She is always available to answer any questions???s even on her day off. She is the best and made the buying experience so fun,5,5,5,5,5
Home buying experience,Casey J.,Yes,2025-11-04,"San Tan Valley, AZ",I had a good experience in each facet of the home buying experience…I’m very happy with how the house turned out and the community I moved to…,5,5,5,5,5
We love the new Lighthouse!,David W.,Yes,2025-10-23,"Marina, CA",We recently purchased a lighthouse from Shea Homes. We like the quality and the purchasing was very smooth.,5,5,5,5,5
SHEA home made our dreams into reality,Khoi M.,Yes,2025-10-22,"Mesa, AZ",Shea homes building experience is top notch at Avalon Crossing. Their sales team to project site manager and warranty manager have been wonderful to work with. Their communication is top notch.,5,5,5,5,5
Everything & everyone is great,John S.,Yes,2025-10-15,"Ventura, CA","Buying your first home is supposed to be stressful and it was a little, but all the people at Shea Homes made the process as easy as possible and quite enjoyable.",5,5,5,5,5
Sales team construction team and warranty team,Woodrow M.,Yes,2025-10-07,"Peoria, AZ",Excellent experience with all teams in the title,5,5,5,5,5
Will only buy from Shea Homes in the future,Brittany P.,Yes,2025-10-01,"Irvine, CA",The quality and attention to detail throughout the whole homebuying process has been outstanding. A truly wonderful purchase experience,5,5,5,5,5
"Rocky at first, but worth the wait",Anonymous,Yes,2025-10-01,"Encinitas, CA","Despite a nearly 4 year long process to move up on the ""list"" with a less-than-transparent home buying experience, I was finally fortunate enough to be ""picked"" to purchase a home. I purchased in 9/2024 and closed in 7/2025, which is the exact amount of time that Shea projected. Once in, the home is beautiful and exceeds my expectations which is quite hard to do! It looks alot bigger inside with the walls up rather than framed. There were several issues that I found (despite 4 or 5 sign-offs by Shea and the City) like the ducts not working with the thermostat and an overhead light beingplaced in the wrong place that Shea eventually fixed. There were also lots of paint touchups needed, a few plumbing/sink/shower issues, refrigerator issues, scratched floor boards that needed to be replaced, and other items that required Shea to fix. While they were all eventually fixed, it was a very painful process to work with the warranty employee and way too stressful. Now that the fixes are almost all complete, I can finally exhale and enjoy the house without workmen. The actual neighborhood is incredible - everyone is so happy to have gotten the opportunity to purchase a home that they are so friendly and happy to be here. Putting my prior 4.5 year journey aside, I am so happy to have purchased a Shea Home and it's gorgeous. I am 100% happy that I didn't settle for another house in the area and waited for this home. I would do it again.",5,5,5,5,5
Thrilled With Our New Home and the Builder’s Team,Christa J.,Yes,2025-09-30,"Peoria, AZ","Our experience with this builder has been excellent from start to finish. From the initial purchase through the final move-in, every step of the process was clear and well-organized. The builder’s team was responsive, followed through on their promises, and made us feel supported the entire way. The quality of our new home is outstanding—the craftsmanship, attention to detail, and overall value exceeded our expectations. We truly feel confident that we made the right choice, and we would recommend this builder to anyone looking for a trustworthy, reliable, and high-quality home buyingexperience.",5,5,5,5,5
Best home building experience.,Kurt C.,Yes,2025-09-23,"Rio Verde, AZ",This is the third home my wife and I have had built. This has been by far the best experience we have had. The Shea team was excellent throughout the entire process. We could not be happier.,5,5,5,5,5
Shea Home = Dream Home,Jennifer B.,Yes,2025-09-16,"San Tan Valley, AZ",The whole home buying process with Shea Homes was so smooth..Bailey and her crew addressed all issues before closing. And I received great customer service from both Bailey and Hanna along the way. They have been a pleasure to work with. Shea Homes is top notch. I am now living in my dream home.,5,5,5,5,5
Great experience with Shea Homes！,Anonymous,Yes,2025-08-25,"Irvine, CA","We’ve had a great experience with Shea Homes so far. The house itself has been very comfortable to live in, and the overall quality has been excellent. The sales office has been wonderful—professional, attentive, and always providing timely updates and detailed information throughout the process. The on-site inspection team was thorough and helpful during the walkthrough, and the customer service team has also been responsive and supportive. Overall, we’re very happy with our home and with the Shea Homes team. Thank you for making the process smooth and reassuring!",5,5,5,5,5
Best quality and service,Chun-wei C.,Yes,2025-08-12,"Peoria, AZ","Everything about the house was built as expected, just like what we saw in the design house. Even though there were minor flaws, Shea’s warranty service was excellent",5,5,5,5,5
Great experience from start to move in.. and after!,Ashley M.,Yes,2025-08-10,"Encinitas, CA","The Shea team was incredibly helpful, responsive and amazing during the home buying process. Everything was effortless and has been great even past my move in date (thanks Victor!). I can’t say enough wonderful things about Micah and Spencer who were with me every step of the way. They are an amazing duo and represent Shea with honesty, integrity and great work. Thank you!!",5,5,5,5,5
