title,reviewer_name,verified_homebuyer,date,location,review_text,total_score,quality,trustworthiness,value,responsiveness
Wonderful and would do all over,Viktoriya D.,Yes,2022-08-30,"San Diego, CA",The home buying experience was amazing from the start. I liked the continued communication throughout the whole process. Shea Homes is very professional and courteous and makes you feel like family.,5,5,5,5,5
Smooth,Kathleen M.,Yes,2022-08-29,"Front Royal, VA",The entire process went very smoothly. The quality of workmanship is excellent and I appreciated the customer service and responsiveness to any inquiry I had…,5,5,5,5,5
Great Services,Roy B.,Yes,2022-08-23,"Missouri City, TX","Everything that Chuck said was pretty accurate, and he gave his professional opinion on what he thought was best for us, meaning picking out good products ( color, design, and others layouts. He made it simple and easy for us during the building process and kept us up to speed on what was going on. He responded to any of our concerns in a timely fashion. BRAVO ZULU , me and my family are very happy with the house, THANKS",5,5,5,5,5
Excellent Experience With An Excellent Outcome,Justin M.,Yes,2022-08-23,"Marina, CA",Buying a new build with Shea Homes was a great experience for my wife and me. We had a great time from picking out our lot to choosing our upgrade features to waiting for the home to be done. We were informed at every step of the way and had a great time working with Bernadette and Josh. Thank you Shea Homes for an excellent experience.,5,5,5,5,5
Shea Homes-Trilogy - Our experience with Shea homes has been great.,Glenn N.,Yes,2022-08-23,"Nipomo, CA",Our experience with Shea homes has been great.,5,5,5,5,5
So happy in our new home!!,Robert B.,Yes,2022-08-17,"Marina, CA",We are so pleased with our new home and would recommend Shea to anyone looking to buy in one of their developments. High quality materials and a greatly responsive team if people. A+,5,5,5,5,5
"Shea Homes - Shea has done a great job from sales, construction, to delivery.",Xiao Q.,Yes,2022-08-17,"Lake Forest, CA","Shea has done a great job from sales, construction, to delivery. We have a fairly good experience during this complex course of new home purchasing, and we would like to thank Shea for the efforts spent to make this new home delivery on time and with high quality.",5,5,5,5,5
Great Builder,Beverly S.,Yes,2022-08-17,"Camarillo, CA",Wonderful experience from sales to service!,5,5,5,5,5
Quality Product and Quality People,Susan A.,Yes,2022-08-10,"Indio, CA","Working with the folks at Shea Homes has been a great experience. They are kind, patient, and very knowledgeable and helpful. The quality of the home is evident and the service provided in all phases of building through the first year is amazing.",5,5,5,5,5
I am very pleased!,Jamal D.,Yes,2022-08-10,"Camarillo, CA","My wife and I are very please with your team's responsiveness to our needs. As in any new construction, some tweaking is needed after the move-in. And so far, your team is very professional and punctual.",5,5,5,5,5
Ronald K. - The way to buy a home.,Ronald K.,Yes,2022-08-08,"Brentwood, CA",We had seen their ads but going through the buying process of a Shea home is an experience you won't forget. From the personal meetings to the very detailed walkthroughs we felt informed every step of the way. The Shea staff are well trained yet personable and eager to help. That coupled with high quality materials and excellent workmanship make for a very special experience. Thank you Shea!,5,5,5,5,5
Del Bello Lakes,Sergio S.,Yes,2022-08-05,"Manvel, TX","We’ve been moved in for 2 months and everything seems to be up to our expectations. Shea homes have kept in communication with us starting from when the home was being built to now. and they’re quick to resolve any issues within a very reasonable time, which haven’t been many or major . We love our new home and would recommend a Shea home to anyone in the market for a home purchase",5,5,5,5,5
Shea Homes - A smooth home buying experience with Shea.,Sivakumar V.,Yes,2022-08-02,"Tracy, CA",A smooth home buying experience with Shea. All the staff members were really knowledgeable and helpful. Quality of the house is great.,5,5,5,5,5
"Shea Homes - Everything went well, the people were nice.",Carlo O.,Yes,2022-07-31,"Chula Vista, CA","Everything went well, the people were nice. A little bit delayed on delivery date however it’s because of the pandemic causing delay in materials and construction.",5,5,5,5,5
Beth R,Beth R.,Yes,2022-07-27,"Rio Verde, AZ",Ryan and Shawna were amazing to work with as our field managers. Kept us in the loop throughout our home building process. They paid great attention to every detail. We are excited to be in our new home. It is beautiful.,5,5,5,5,5
Well Done Under Trying Conditions,David S.,Yes,2022-07-21,"San Tan Valley, AZ",My wife and I have been very pleased with the home buying process and the results we achieved. We stayed in contact with our Representative Charmaine Powell and our building Manager Kyle Ward. They kept us apprised of the homes progress which I'm sure was difficult during the pandemic. The trades people did quality work and follow up on any issues has been completed promptly. We're looking forward to returning to Encanterra when it starts raining again in Washington. (Perhaps even sooner).,5,5,5,5,5
Beautiful quality home,Anonymous,Yes,2022-07-19,"El Cajon, CA",Shea builds amazing quality homes and they stand behind their product.,5,5,5,5,5
Dream come true,Gary J.,Yes,2022-07-17,"Indio, CA",We are so pleased with every step of the way in our buying experience.,5,5,5,5,5
Great experience with Shea!,Jeff D.,Yes,2022-07-13,"Humble, TX","We had an outstanding experience with Shea. As one of Shea's first buyers in The Groves, they took care of us from start to finish. Alan did a great job of walking us through the buying process to get started and was available every step of the way. Joel went above and beyond through our construction process and stayed on top of all the details to make sure we were satisfied with every item during construction (and if we weren't, to make sure it was fixed). Then, Alexis has already been out for our first quality visit and is making sure we are happy in our new home and helping us through afew minor issues. Shea Homes has definitely been our best experience with a new builder. They offer a lot of checkpoints through the process and make concerted efforts to address outstanding items in a timely manner. The handoff process was also exemplary. Joel left us the full ""instruction manual"" for our new home and they have QR codes you can scan with your phone to take you to online guides for appliances, etc. We would not hesitate to buy another Shea home in the future. If you are fortunate enough to get Alan, Joel, and Alexis, you are in good hands!",5,5,5,5,5
Shea Homes - From beginning to end the customer experience was great.,Andrew H.,Yes,2022-07-13,"Tracy, CA","From beginning to end the customer experience was great. The transparent communication enabled complete understanding of purchasing process from the request of required documents, design studio to final walkthrough.",5,5,5,5,5
Very positive,Joseph S.,Yes,2022-07-10,"Front Royal, VA","Attention to detail and ""white glove"" inspections ensured a quality product. The home was move-in ready.",5,5,5,5,5
Shane & Nancy,Debra S.,Yes,2022-07-05,"Groveland, FL",Building with Covid left its challenges but Shane our construction manager and Nancy and a sales person was with us every step of the way she trying to help us through the long white building with Covid. In the end my home came out beautiful thanks to Shane. Shea homes care about Quality.,5,5,5,5,5
Great experience to become a Shea homeowner,Suping Z.,Yes,2022-07-05,"Rio Verde, AZ",Shea home is of great quality and the price is reasonable. Super good after-sale service. Highly recommend Shea home.,5,5,5,5,5
"Shea Homes-Trilogy - Great experience working with Shea Homes from the initial ""shopping""",Richard L.,Yes,2022-07-05,"San Tan Valley, AZ","Great experience working with Shea Homes from the initial ""shopping"" visits all the way through the closing process. We recently completed the 30-day warranty / repair with no issues. Very pleased with the sales, design, and warranty teams at Shea Homes!",5,5,5,5,5
Excellent,Fatemeh S.,Yes,2022-06-24,"Hollister, CA",Excellent Experience working with Shea,5,5,5,5,5
High quality home,Laura H.,Yes,2022-06-23,"San Tan Valley, AZ","The homebuying experience with Shea was very easy. We had two fabulous sales people Paula and Lynda and they kept everything running smoothly and worked out all the complicated details. It’s mind boggling how intricate all those details are and I am so appreciative of Paula and Lynda that they kept everything in order during the whole process. Our two field managers Todd and Mathew oversaw all the details of the construction process and the house turned out beautifully. Melinda in the design show room was very helpful and patient with my decisions for all the details of the house andit paid off, the house looks beautiful. The Initial loan qualification process with Amy went very well, but when we had to update everything a year later that process was more tedious and complicated than I felt it needed to be. It became a arduous and expensive for us and we changed lenders at that time. The closing process was easy and the house presentation was very nice and thoughtful. The house was remarkably clean and perfectly ready for move-in. We had several scheduling issues with the subcontractor I wired but when Adreiel , Matt and Travis arrived they did a good job. We’ve had many issues with the pool and landscaping but those are slowly being worked out. We have been here 2 1/2 months and the house is working very smoothly. We love it.",5,5,5,5,5
Shea Homes - It was a wonderful experience building my home with Shea Homes,Deborah P.,Yes,2022-06-23,"Phoenix, AZ","It was a wonderful experience building my home with Shea Homes because of George, Angela and Adam. They are responsive, attentive and super nice to work with.",5,5,5,5,5
Amazing. That is the best way I could describe the experience...,James E.,Yes,2022-06-23,"Nipomo, CA","From the moment you decide to take the plunge and put your name in the drawing, you have no idea what a dream you are about to live. From the guidance and professionalism of the sales team to the expertise of the design consultant, you are in for a truly once-in-a-lifetime adventure! You fell in love with the homes the minute you walked thru the models, but it does not compare with the feeling of pure joy you will experience as you watch YOUR choices grow into the dream home you truly deserve!",5,5,5,5,5
Shea Homes - I purchased three detached houses in great park community.,Qiqi L.,Yes,2022-06-23,"Rio Verde, AZ",I purchased three detached houses in great park community. The Shea home is the best builder.The details and service is great.,5,5,5,5,5
Responsive to fixes.,Scott T.,Yes,2022-06-23,"Newport Beach, CA","Matthew and Ricky are very responsive and understanding of the issues and have fixed things efficiently. Salvador seeks an excuse first to try and avoid fixing things, but fortunately, Matt and Ricky's judgement prevailed and things are being fixed to the way we prefer. Heat-pump driven multiple mini-split HVAC zoned system is still giving us issues. I believe that Ricky and Matt are dealing with several systems and haven't been able to devote much attention to ours.",5,5,5,5,5
Great experience!,Jeffrey P.,Yes,2022-06-21,"OCALA, FL",High quality craftsmanship for the price.,5,5,5,5,5
Fantastic,Demettra J.,Yes,2022-06-16,"Las Vegas, NV","I absolutely love my home. It's a dream come true. The process was Unbelievable smooth. My salesperson Melba was so caring, honest and kept me informed of everything",5,5,5,5,5
Shea Homes - Seeing few air cracks & other minor issues.,Hemantha G.,Yes,2022-06-15,"Tracy, CA",Seeing few air cracks & other minor issues.. Shea is helping with them as part of 1 year warranty.. So far the experience has been great,5,5,5,5,5
Shea Homes - Excellent customer service and great staff,Mahvash A.,Yes,2022-06-07,"Hollister, CA",Excellent customer service and great staff,5,5,5,5,5
Fantastic sales agents,Anonymous,Yes,2022-06-07,"Hollister, CA",The Shea agents for Park Circle were fantastic in their communication regarding progress of the home building and guidance on options. They made the whole process stress free and welcoming.,5,5,5,5,5
Prompt responses and updates,Joanna V.,Yes,2022-06-02,"Littleton, CO","We had a great experience with Shea from start to finish! The whole sales office was great, especially Mac. He was very responsive when we had a snag with the design center. That issue was promptly addressed and our minds were quickly put to ease. Our realtor even said Shea was the best new build company he has ever encountered! That really reaffirmed our trust in Shea. We are in love with our new dream home!!",5,5,5,5,5
5 star builder,Freddie N.,Yes,2022-06-02,"Manvel, TX",Shea has exceeded my expectations Ive bought a new built home before and after i closed the company wasn't responsive however Shea has been top notch with responding to all minor issues,5,5,5,5,5
Shea Homes - Nice material and equipment selections.,Matthew G.,Yes,2022-05-31,"Hollister, CA",Nice material and equipment selections. Very few defects discovered after taking ownership.,5,5,5,5,5
Laura our sales person was great!,Steve A.,Yes,2022-05-20,"Rio Verde, AZ",Expect delays but once you accept this will happen the team overall does a good job keeping you informed of status and delivery date. Good news is your home might appreciate before you even move in.,5,5,5,5,5
Quality product and attention to detail,David M.,Yes,2022-05-19,"Rio Verde, AZ",Shea Homes-Trilogy builds a quality home. My floorpan is functional and efficient. Their standard quality control process is thorough with laser focused attention to detail. Their warranty process is very homeowner friendly.,5,5,5,5,5
"Shea Homes-Trilogy - Our Project Manager, Donnie, was excellent.",Rick S.,Yes,2022-05-17,"Wickenburg, AZ","Our Project Manager, Donnie, was excellent.",5,5,5,5,5
Service,Sonja A.,Yes,2022-05-13,"Mission Viejo, CA",The entire process from the sales office to construction completion and punch list was excellent.,5,5,5,5,5
Shea Homes-Trilogy - Shea Homes - Trilogy was responsive and extremely organized.,Gary W.,Yes,2022-05-12,"Front Royal, VA",Shea Homes - Trilogy was responsive and extremely organized. This allowed then to handle in the most effective way supply chain challenges and other potential disruptions to the building process. We were kept informed all along the way. No surprises.,5,5,5,5,5
Shea Homes - They are first class developers.,Shrikanth K.,Yes,2022-05-10,"Tracy, CA",They are first class developers.,5,5,5,5,5
The people were amazing!,Laury R.,Yes,2022-05-05,"Las Vegas, NV","The plans are well designed and thoughtful. There is abundant storage in the kitchen and laundry room. The primary bedroom is large and spacious. At first I thought the home sites were small, but who wants to do yard work all week? The size is perfect. The people that planned, designed and worked with me through the sales process were unbelievable and the neighbors make it amazing!!",5,5,5,5,5
Personal touch,Belisa G.,Yes,2022-05-01,"Brentwood, CA",The entire Shea staff was was not only courteous and friendly but made a personal connection throughout the process. We were informed every step of the way and hey were very responsive about every minor issue. We are extremely happy with our home and the experience of buying a Shea Home.,5,5,5,5,5
"Quality, On-time Delivery, Friendly, Importantly CUSTOMER SATISFACTION is SHEA's KEY",Saravanakumar S.,Yes,2022-04-27,"Tracy, CA","Very kind, ontime delivery, good quality, above all very friendly.",5,5,5,5,5
Love my new home!,Kelly C.,Yes,2022-04-27,"Littleton, CO","Shea builds such great communities. From the location to the amenities, every detail is thoughtfully considered and implemented. I also really enjoyed my design studio experience. The choices were abundant and delightful. I'm so happy with how everything looks. Thank you, Shea!",5,5,5,5,5
Customer service,Rose J.,Yes,2022-04-26,"Indio, CA",This is our second home by She. Their quality and customer service is superior.,5,5,5,5,5
All Shea representatives were terrific. Outstanding customer service from start to finish.,Donald R.,Yes,2022-04-16,"Las Vegas, NV","Very impressed with the overall quality and craftsmanship of our Shea home. We purchased our house remotely and the virtual format process used to select our lot, model, exterior and interior design options etc. was executed smoothly. The sales staff, interior design specialists, builder supervisor, and the customer service representatives where absolute professionals.",5,5,5,5,5
Shea Homes-Trilogy - Shea kept me informed during every step of my home building process.,Mary B.,Yes,2022-04-15,"Brentwood, CA",Shea kept me informed during every step of my home building process. I was informed if there was even a possibility of a delay which allowed me to trust the process.,5,5,5,5,5
Shea Homes-Trilogy - The best part is the people that you hire.,Lori P.,Yes,2022-04-13,"Denver, NC","The best part is the people that you hire. Chrissy, Gwen and Bev were excellent.",5,5,5,5,5
"Communication, collaboration and quality assurance",Charles L.,Yes,2022-04-12,"Rio Verde, AZ",From the buying process to delivery of the home this was a first class experience!,5,5,5,5,5
Outstanding,Laura S.,Yes,2022-04-12,"Brentwood, CA","Everyone here is great! Casey,Vicki,Patty,Mariel and Kyle. They make the process easy. The team here is very responsive to questions and kept me up to date for each phase of the build. I highly recommend Shea.",5,5,5,5,5
n/a,Michael H.,Yes,2022-04-08,"Nipomo, CA",great experience for buying a home,5,5,5,5,5
"Shea Homes - Everything has been an incredible experience, this is my 3rd",Jacqueline B.,Yes,2022-03-24,"Avondale, AZ","Everything has been an incredible experience, this is my 3rd home purchase and by far the best. I recommend Shea as a trusted builder",5,5,5,5,5
Quality and care,Jill P.,Yes,2022-03-23,"Rio Verde, AZ",Kept us up to date with weekly emails and photos. Quality product. Great customer service. Beautiful home and neighborhood. Very happy.,5,5,5,5,5
Shea Homes-Trilogy - We love our new home!,Robert P.,Yes,2022-03-23,"Indio, CA",We love our new home!,5,5,5,5,5
Shea Homes-Trilogy - Communication was generally good -- more than we expected.,Anonymous,Yes,2022-03-19,"Santa Maria, CA","Communication was generally good -- more than we expected. Home seems solidly built. Since we've moved in, Shea's rep has been very good about trying to make sure we are satisfied with the resolution of even small issues.",5,5,5,5,5
Kept informed,Kathy S.,Yes,2022-03-16,"Indio, CA",Was kept informed of progress and issues were address quickly and fixed in a timely manner,5,5,5,5,5
Easy home buying experience with folks that care.,Paula G.,Yes,2022-03-09,"Las Vegas, NV","From the moment I spoke with the community representative I knew I'd picked the right over 55 community from the many in Las Vegas. This assurance continued through the construction, design , home delivery and customer service. Ive moved in and met so many friendly neighbors. Im really looking forward to the opening of the community center and pool.",5,5,5,5,5
Shea Homes - I had a great experience with this builder and all the staff,Josephine M.,Yes,2022-03-08,"Hollister, CA","I had a great experience with this builder and all the staff are very nice. I know it was a long process, but I knew it from the beginning because of this pandemic but it was worth it to wait. Price of the house was great. Over all is excellent. Thanks to all the staff, specially to Hella, Brian and Eddie.",5,5,5,5,5
Shea Homes - Excellent experience through the entire purchase experience.,Mark R.,Yes,2022-03-08,"San Diego, CA",Excellent experience through the entire purchase experience.,5,5,5,5,5
Proud to say Shea home owner,Ramkumar K.,Yes,2022-03-06,"Tracy, CA",Very smooth experience. Great support even after closing. Immediate response on queries. Some of Shea's basic amenities are upgrade in other builders.,5,5,5,5,5
Reputation With Trilogy Communities,James B.,Yes,2022-03-05,"Wickenburg, AZ","Several models to choose from. Review of the build process including key milestones for your onsite review. Walk thru by Shea on-site managers to address any issues prior to customer walk thru to ensure a quality-built home. At the time of the walk thru customer is assigned a Shea Customer Representative that assists in addressing any issues that may arise in one month, five months and eleven months. They are with you through the warranty period.",5,5,5,5,5
Being on time in everything,Mofy I.,Yes,2022-03-03,"Peoria, AZ","Shae homes are one of best, regarding the house to be delivered on time and the difference between the actual house and the model you have seen.",5,5,5,5,5
Shea Homes - Trilogy - We worked mostly with our field manager who was outstanding any,James B.,Yes,2022-03-03,"San Tan Valley, AZ",We worked mostly with our field manager who was outstanding any issues we had were taken care of in a timely matter. He went above and beyond what I expected did a great job,5,5,5,5,5
Great experience all the way around!,Anthony F.,Yes,2022-03-02,"Hollister, CA",The entire team was very proffessional and informative. It was a pleasurable and easy buying experience.,5,5,5,5,5
Trilogy is organized and responsive to any concerns.,Karen W.,Yes,2022-03-02,"Indio, CA",The builder includes the best and most up to date methods in home building in the base price of your home. Shea homes are a delight.,5,5,5,5,5
Efficiency and teamwork.,Terry B.,Yes,2022-03-01,"Santa Maria, CA",Easy to work with and professional.,5,5,5,5,5
Shea Homes - Took care of us from start to finish.,Edward G.,Yes,2022-03-01,"Hollister, CA",Took care of us from start to finish. Great experience as a first time home buyer!,5,5,5,5,5
Response to a problem was wonderful,Tom A.,Yes,2022-03-01,"Rio Verde, AZ","Home is excellent, problem solving responsibilities is very good. All and all a great experience. Thank You",5,5,5,5,5
Great end to end experience,Candy Z.,Yes,2022-02-24,"San Diego, CA",Great end to end experience.,5,5,5,5,5
Philippe and Patty in the sales office. A great beginning.,Deborah S.,Yes,2022-02-24,"Camarillo, CA",A wonderful experience with a great builder who has integrity and great communication during the building process. All of the representatives are stellar. I highly recommend a Shea home.,5,5,5,5,5
Shea Homes-Family - The Shea Team for my transaction is very professional and efficient.,Sandy Y.,Yes,2022-02-22,"Newport Beach, CA","The Shea Team for my transaction is very professional and efficient. Robin, Amna, Matt, Rickey, Salvador are all very professional and respond almost instantly on issues during the transaction and after the sale. They care about the homeowners very much!",5,5,5,5,5
Great quality for the price,Gary P.,Yes,2022-02-22,"Indio, CA",Move in and walk through was great. Had our one month service and everything has been corrected. Service is great and so is Casey. Love our home and the community,5,5,5,5,5
Everyone followed up throughout the process professionally and courteously.,Jack B.,Yes,2022-02-22,"Rio Verde, AZ",Great job from start to finish.,5,5,5,5,5
Shea Homes-Family - We had a great experience in buying our Shea home.,Christopher V.,Yes,2022-02-22,"Placentia, CA","We had a great experience in buying our Shea home. The communication was great throughout the process from sales, construction and customer service. Shea included a lot of nice features so we were able to stay within our budget when selecting options. The workmanship and attention to detail was impressive. We love our new home.",5,5,5,5,5
The quality,Amparo L.,Yes,2022-02-22,"Groveland, FL",I am out away from the country right now. I got my keys and the customer service gentleman was awesome. I’m so looking forward to move to the house next month,5,5,5,5,5
Shea Homes-Family - Great experience from the beginning to the moment we moved in.,Michael R.,Yes,2022-02-16,"Camarillo, CA",Great experience from the beginning to the moment we moved in. From the sales reps to the supervisors everyone was super helpful. The superior quality of our new home is very impressive.,5,5,5,5,5
"Shea Homes-Family - Sales and support staff were excellent throughout the process,",James W.,Yes,2022-02-15,"Camarillo, CA","Sales and support staff were excellent throughout the process,",5,5,5,5,5
True customer service experience from a quality builder,Guy Z.,Yes,2022-02-09,"Peoria, AZ","I have a background in construction and built our last house of 20 years with a dear friend. After looking at numerous model homes from various builders, it was obvious that Shea Homes knows how to construct a quality home with workmanship that was far beyond the competitors. I also noticed other builders luring you in with low base pricing, only to see 3 times the typical mark up on upgrades in the design centers. This isn't something we experienced with Shea. Mark ups were very reasonable on upgrades, quality of craftmanship was above par and customer service was outstanding. Even withall the supply/worker issues that Covid brought, Shea stood by the original move in date which was really surprising. I can't say enough about how professional and courteous my Superintendent Jason was and also how our customer service rep James handled everything in stride with a smile. You just don't see this level of support very often these days. It's been over 30 days since our move in date and things are going great. We couldn't be happier and highly recommend Shea Homes.",5,5,5,5,5
Clear prompt information and responses from all departEnts,Ronald W.,Yes,2022-02-08,"Camarillo, CA","From our first meeting on site I received timely information, direction and responses from every Shea department from the finance officers, to the Sales Staff (in particular), the design office, and the construction representatives. Their prompt assistance, help, and replies were all outstanding, courteous and responsive.. I found all my workings with Shea very professional.",5,5,5,5,5
Shea Homes-Family - Excellent service and communication all from start to finish!,Joel L.,Yes,2022-02-08,"Mission Viejo, CA",Excellent service and communication all from start to finish! Love our Shea home!,5,5,5,5,5
Shea Homes-Trilogy - Never experienced any problems during and after construction.,Harro S.,Yes,2022-02-08,"Wickenburg, AZ",Never experienced any problems during and after construction. A good experience all around!,5,5,5,5,5
Shea Homes-Family - Good experience.,Janice L.,Yes,2022-02-08,"Camarillo, CA",Good experience. The Shea home staff were very helpful,5,5,5,5,5
Pomelo Sales Staff were exceptional,Anonymous,Yes,2022-02-02,"Camarillo, CA",This was my first Shea Homes experience. It was excellent overall. Pomelo Sales Staff Phillippe and Patti made the entire experience even that much greater. they are true Professionals.,5,5,5,5,5
"Shea Homes - Excellent quality, trust and maintenance.",Sunil R.,Yes,2022-02-01,"Tracy, CA","Excellent quality, trust and maintenance.",5,5,5,5,5
Quality in build.,Sreedhar V.,Yes,2022-02-01,"Tracy, CA",Build quality and customer support very good.,5,5,5,5,5
Shea Homes - Very friendly and easy to work with,John A.,Yes,2022-02-01,"Littleton, CO",Very friendly and easy to work with,5,5,5,5,5
Beautiful homes!,Jenipher L.,Yes,2022-02-01,"Santa Maria, CA","We came out from CT a year ago looking for a home in Santa Maria. We had zero interest in living in a townhouse or a community. Then we walked into the Shea townhouses at Rice Ranch and immediately fell in love. The quality is amazing, all the individuals we worked with were fabulous and we are just thrilled here. Any issues we’ve had (and there were only a couple) were handled in a timely manner and to our satisfaction. Great builders, beautiful area. We love our new life!!",5,5,5,5,5
Excellent builder faster response for any issues reported,Govardhan M.,Yes,2022-02-01,"Peoria, AZ",Shea builder is well experienced in explaining and fixing any issues reported . Good knowledgeable resources,5,5,5,5,5
Shea is squarely focused on their customers!,Gregory G.,Yes,2022-01-26,"San Tan Valley, AZ",Shea is not a custom home builder but has great options and is always evaluating changes when their clients give them feedback. I just built my second house with them in Encanterra and wouldn’t hesitate to do it again.,5,5,5,5,5
Communication was very good both within the Shea team and with us as home buyers.,Kimberly P.,Yes,2022-01-25,"San Tan Valley, AZ",Great experience building a home with Shea!,5,5,5,5,5
Shea Homes - Trilogy - We are very happy with our home in Trilogy!,Adriana F.,Yes,2022-01-25,"Denver, NC",We are very happy with our home in Trilogy!,5,5,5,5,5
High quality workmanship,Howard D.,Yes,2022-01-25,"Littleton, CO","We are extremely pleased with all the phases and personal interaction with everyone, as we are now on the second month living in our new Shea home — from the sales office, to the building process, to the new home follow ups — having a quality, personal contact during each step of the process.",5,5,5,5,5
"Thorougly professional, every process is pretty much well defined, overall amazing experience!",Ramakrishna M.,Yes,2022-01-25,"Tracy, CA","- sale process is very friendly, transparent - design studio experiences the best - very clear messaging, directions through the process - loan/mortgage process is good - house construction is of best quality - after sale service is prompt and thorough - overall, shea one of the best to go for your deam home",5,5,5,5,5
Shea Homes - Trilogy - I am Happy with the purchased.,Ivy H.,Yes,2022-01-25,"Brentwood, CA",I am Happy with the purchased.,5,5,5,5,5
The people,Karen T.,Yes,2022-01-25,"Castle Rock, CO","Patience, Willy, Austin, and Eric have all been excellent. The level of service is outstanding, they each set appropriate expectations and delivered.",5,5,5,5,5
Shea Homes - Love our house and location.,Jim b.,Yes,2022-01-25,"Phoenix, AZ",Love our house and location.,5,5,5,5,5
"The communication. We worked with David and Alan and the amount of updates throughout the process was so appreciated. Incredibly responsive but, more importantly, incredibly proactive with their outreach. Phenomenal experience.",Riley R.,Yes,2022-01-09,"Castle Rock, CO","This was the 2nd home we have built in CO. Our first experience was fine, but after working with Shea it really contrasted the whole experience. Shea was so much more professional and communicative throughout the whole process. From emails to texts to phone calls I was getting a response almost instantly. That was when I reached out, which I hardly had to do since Shea was very proactive in their communication. Such a positive experience.",5,5,5,5,5
Shea Homes - Trilogy - The quality of the experience was noteworthy.,Deborah L.,Yes,2022-01-08,"Indio, CA",The quality of the experience was noteworthy. All of the staff was very personable and each staff member seemed to personally care about the buyer and their needs. The quality of the home seems very good and the attention to detail is excellent.,5,5,5,5,5
Shea Homes - delivered on time and excellent customer service,Anonymous,Yes,2022-01-05,"Tracy, CA",delivered on time and excellent customer service,5,5,5,5,5
"Shea Homes - Professional and hardworking, able to solve the problems in time.",Jianfeng H.,Yes,2021-12-29,"Irvine, CA","Professional and hardworking, able to solve the problems in time.",5,5,5,5,5
Very helpful and responsive to needs,Esther S.,Yes,2021-12-28,"Spring, TX",Shea homes made building a house a pleasure,5,5,5,5,5
"Shea Homes - Trilogy - Our customer care person, Theresa is fabulous!",Connie K.,Yes,2021-12-28,"Las Vegas, NV","Our customer care person, Theresa is fabulous!",5,5,5,5,5
Professional,Scot B.,Yes,2021-12-23,"Newport Beach, CA",From Sales Team to Super to follow up we've been impressed with the team at Shea. Very responsive to all.,5,5,5,5,5
Shea Homes - We love our house.,Bryan B.,Yes,2021-12-22,"Spring, TX","We love our house. Thanks, Shea Homes.",5,5,5,5,5
Shea Homes - Shea did a great job overall!,Bethany B.,Yes,2021-12-22,"Littleton, CO",Shea did a great job overall!,5,5,5,5,5
Go with Shea!,Alex S.,Yes,2021-12-15,"Littleton, CO","From beginning to end, Shea was amazing. The sales, construction, and warranty team have been very responsive, helpful and professional with our questions. The “standard” options were far better than other builders for a fair price and the upgrades equally as fair. We love this house and are so happy with what Shea has provided.",5,5,5,5,5
Shea Homes - Could not have been happier with the proactive communication,Daniel G.,Yes,2021-12-15,"Castle Rock, CO",Could not have been happier with the proactive communication and responsiveness of the Shea team throughout the building process.,5,5,5,5,5
"Shea Homes - Trilogy - Quality product, trust and confidence in shea reps, professional",Jamieson V.,Yes,2021-12-14,"Wickenburg, AZ","Quality product, trust and confidence in shea reps, professional from beginning to move-in, and beyond. Satisfied of worthwhile home-inves, and wonderful community to reside.",5,5,5,5,5
Shea Homes - Overall great experience.,Monoj A.,Yes,2021-12-14,"Tracy, CA",Overall great experience. Very good end to end process,5,5,5,5,5
Being responsive,Doelett B.,Yes,2021-12-14,"Wickenburg, AZ",Was a good experience with a big project,5,5,5,5,5
Shea Homes - We are very happy with our new home.,Jason B.,Yes,2021-12-07,"Rio Verde, AZ",We are very happy with our new home. Despite some delays in the building process (related to the global supply shortage). The home is everything we wanted it to be.,5,5,5,5,5
The Best Thing We Ever Did!,Lori R.,Yes,2021-12-07,"Nipomo, CA","Buying our home in Trilogy has been a truly amazing experience! Frim the day I walked in to the Sales Office, (yes I bought that day), to our move in date, everything and everyone has been top-notch. Thank you!",5,5,5,5,5
Responsiveness,Merhawit T.,Yes,2021-12-03,"Tracy, CA",Very friendly and responsive team .,5,5,5,5,5
Shea Homes - Trilogy - Excellent process from start to finish and excellent quality,Anonymous,Yes,2021-12-01,"Peoria, AZ",Excellent process from start to finish and excellent quality of construction,5,5,5,5,5
Pretty amazing that during a pandemic you were able to complete the phases and project on time.,Thomas R.,Yes,2021-11-23,"Seal Beach, CA","I am impressed with the quality of the work and the responsiveness to questions during the building process by all Shea team members. Since Closing, the responsiveness by customer service to issues and/or questions has been impressive.",5,5,5,5,5
Shea Homes - Trilogy - We were kept informed about progress on our home by our Field,Jeffrey C.,Yes,2021-11-23,"Wickenburg, AZ","We were kept informed about progress on our home by our Field Manager, who sent pictures and updates. Our Shea customer service representative explained the features of our home and how to maintain our home for the maximum enjoyment.",5,5,5,5,5
Customer Service,Douglas E.,Yes,2021-11-18,"Camarillo, CA","From deposit to close of escrow we appreciated the customer service and responsiveness to questions and concerns After close, Shea continued to show great customer service by addressing outstanding issues.",5,5,5,5,5
Great experience overall,Kenneth S.,Yes,2021-11-16,"Camarillo, CA",We were impressed with the responsiveness of the sales office personnel and the customer service we received to address any issue.,5,5,5,5,5
They stayed on schedule without any delays.,Anonymous,Yes,2021-11-16,"Front Royal, VA",We lived out of state during the construction of our home. The Shea team made that process relatively stress free by communicating with us regularly with photos and email updates regarding the construction progress.,5,5,5,5,5
